	id	title	year	genres	runtime	numvotes	rating	sub_id
1650	1854564	Percy Jackson: Sea of Monsters	2013	['Adventure', 'Family', 'Fantasy']	106	101795	5.8	1953805857
1651	1307068	Seeking a Friend for the End of the World	2012	['Adventure', 'Comedy', 'Drama']	101	101746	6.7	1953230614
1652	1023114	The Way Back	2010	['Adventure', 'Drama', 'History']	133	101715	7.3	1952835133
1653	4438848	Neighbors 2: Sorority Rising	2016	['Comedy']	92	101697	5.7	1955295598
1654	3567288	The Visit	2015	['Comedy', 'Horror', 'Mystery']	94	101658	6.2	1955011620
1655	795368	Death at a Funeral	2007	['Comedy']	90	101452	7.4	1953190502
1656	327554	Catwoman	2004	['Action', 'Crime', 'Fantasy']	104	101419	3.3	1951612262
1657	40897	The Treasure of the Sierra Madre	1948	['Adventure', 'Drama', 'Western']	126	101377	8.2	1951626287
1658	460791	The Fall	2006	['Adventure', 'Comedy', 'Drama']	117	101365	7.9	1951920060
1659	289992	The Life of David Gale	2003	['Crime', 'Drama', 'Thriller']	130	101308	7.6	1954113983
1660	1131729	Pirate Radio	2009	['Comedy', 'Drama', 'Music']	117	101271	7.4	1952172249
1661	445922	Across the Universe	2007	['Drama', 'Fantasy', 'Music']	133	101222	7.4	1951737781
1662	117218	The Nutty Professor	1996	['Comedy', 'Romance', 'Sci-Fi']	95	101144	5.6	1952134136
1663	120890	Wild Things	1998	['Crime', 'Drama', 'Mystery']	108	100800	6.5	1951721520
1664	295700	Wrong Turn	2003	['Horror']	84	100654	6.1	1951845577
1665	200550	Coyote Ugly	2000	['Comedy', 'Drama', 'Music']	100	100567	5.7	132892
1666	203019	Men of Honor	2000	['Biography', 'Drama']	129	100537	7.2	69594
1667	114069	Outbreak	1995	['Action', 'Drama', 'Thriller']	127	100356	6.6	1953530078
1668	6499752	Upgrade	2018	['Action', 'Sci-Fi', 'Thriller']	100	100337	7.6	1956027557
1669	1860213	Dirty Grandpa	2016	['Comedy']	102	100335	5.9	1955174652
1670	404203	Little Children	2006	['Drama', 'Romance']	136	100270	7.5	1951656818
1671	5813916	Dag II	2016	['Action', 'Drama', 'War']	135	100241	9.3	1955672654
1672	465580	Push	2009	['Action', 'Sci-Fi', 'Thriller']	111	100207	6.1	1952136560
1673	472062	Charlie Wilson's War	2007	['Biography', 'Comedy', 'Drama']	102	100100	7.1	1951906490
1674	309987	The Dreamers	2003	['Drama', 'Romance']	115	100099	7.2	1951974045
1675	137494	Entrapment	1999	['Action', 'Crime', 'Romance']	113	100099	6.3	271278
1676	348836	Gothika	2003	['Horror', 'Mystery', 'Thriller']	98	100062	5.8	1953298145
1677	4651520	Bad Moms	2016	['Comedy']	100	100026	6.2	1955347016
1678	1956620	Sex Tape	2014	['Comedy', 'Romance']	94	99973	5.1	1954421788
1679	405508	Rang De Basanti	2006	['Comedy', 'Drama']	157	99895	8.2	1951610747
1680	1921064	Pompeii	2014	['Action', 'Adventure', 'Drama']	105	99847	5.5	1954237243
1681	1602613	Only God Forgives	2013	['Crime', 'Drama']	90	99821	5.7	1953636635
